Price,Year,Engine,Distance
12 700 AZN,2008,1.5 L,384 633 km
19 000 AZN,2010,1.8 L,316 656 km
13 900 AZN,2008,1.5 L,175 000 km
12 800 AZN,2007,1.5 L,210 000 km
14 500 AZN,2006,1.5 L,137 000 km
14 500 AZN,2011,1.8 L,140 000 km
12 900 AZN,2008,1.5 L,237 000 km
13 100 AZN,2007,1.5 L,195 300 km
10 900 AZN,2007,1.5 L,239 000 km
12 200 AZN,2008,1.5 L,330 000 km
13 500 AZN,2008,1.5 L,210 000 km
18 200 AZN,2010,1.8 L,115 000 km
13 300 AZN,2008,1.5 L,127 000 km
13 800 AZN,2007,1.5 L,191 000 km
12 400 AZN,2007,1.5 L,257 000 km
13 800 AZN,2007,1.5 L,242 000 km
14 100 AZN,2009,1.5 L,219 000 km
12 900 AZN,2009,1.5 L,182 300 km
13 500 AZN,2009,1.5 L,203 000 km
19 800 AZN,2012,1.8 L,190 466 km
13 300 AZN,2007,1.5 L,140 000 km
18 700 AZN,2012,1.8 L,199 000 km
13 200 AZN,2006,1.5 L,169 000 km
18 300 AZN,2011,1.8 L,234 000 km
18 900 AZN,2011,1.8 L,209 228 km
12 800 AZN,2007,1.5 L,255 000 km
19 000 AZN,2010,1.8 L,316 656 km
15 900 AZN,2009,1.8 L,182 000 km
13 200 AZN,2008,1.5 L,392 680 km
13 800 AZN,2008,1.5 L,188 000 km
13 300 AZN,2007,1.5 L,224 258 km
12 950 AZN,2005,1.5 L,202 900 km
15 400 AZN,2010,1.8 L,236 574 km
10 000 AZN,2007,1.5 L,180 000 km
16 300 AZN,2009,1.8 L,150 000 km
20 800 AZN,2014,1.8 L,191 587 km
13 700 AZN,2008,1.5 L,299 338 km
13 500 AZN,2007,1.5 L,233 000 km
13 700 AZN,2007,1.5 L,209 000 km
9 000 AZN,2009,1.5 L,133 000 km
13 900 AZN,2005,1.5 L,150 000 km
16 300 AZN,2010,1.8 L,159 000 km
10 000 AZN,2007,1.5 L,210 000 km
10 500 AZN,2007,1.5 L,185 000 km
12 500 AZN,2007,1.5 L,259 700 km
14 000 AZN,2008,1.5 L,234 128 km
16 500 AZN,2010,1.8 L,183 000 km
13 900 AZN,2007,1.5 L,155 621 km
13 900 AZN,2008,1.5 L,346 460 km
17 400 AZN,2010,1.8 L,202 000 km
18 300 AZN,2011,1.8 L,193 121 km
13 200 AZN,2008,1.5 L,259 394 km
14 800 AZN,2008,1.5 L,211 000 km
16 300 AZN,2009,1.8 L,184 800 km
14 400 AZN,2008,1.5 L,184 000 km
12 900 AZN,2008,1.5 L,244 914 km
6 000 AZN,2007,1.5 L,185 000 km
20 500 AZN,2013,1.8 L,132 000 km
13 800 AZN,2008,1.5 L,225 326 km
16 700 AZN,2011,1.8 L,171 000 km
17 300 AZN,2011,1.8 L,191 000 km
13 700 AZN,2008,1.5 L,197 000 km
9 500 AZN,2007,1.5 L,200 000 km
16 750 AZN,2011,1.8 L,174 700 km
18 500 AZN,2011,1.8 L,190 000 km
13 500 AZN,2007,1.5 L,233 000 km
17 900 AZN,2011,1.8 L,214 000 km
13 300 AZN,2008,1.5 L,200 000 km
19 900 AZN,2014,1.8 L,220 000 km
19 400 AZN,2013,1.8 L,212 700 km
22 000 AZN,2012,1.8 L,144 940 km
10 000 AZN,2008,1.5 L,155 000 km
11 700 AZN,2008,1.5 L,140 000 km
13 500 AZN,2009,1.5 L,189 000 km
17 500 AZN,2010,1.8 L,179 075 km
34 000 AZN,2019,1.8 L,65 000 km
19 700 AZN,2013,1.8 L,183 273 km
13 200 AZN,2008,1.5 L,179 000 km
14 200 AZN,2008,1.5 L,126 000 km
12 800 AZN,2008,1.5 L,212 433 km
13 600 AZN,2006,1.5 L,286 463 km
17 650 AZN,2010,1.8 L,300 000 km
16 500 AZN,2009,1.8 L,197 000 km
13 700 AZN,2007,1.5 L,116 000 km
13 200 AZN,2008,1.5 L,337 962 km
14 300 AZN,2009,1.5 L,130 000 km
13 500 AZN,2007,1.5 L,210 500 km
14 600 AZN,2008,1.5 L,179 000 km
11 800 AZN,2008,1.5 L,270 000 km
14 500 AZN,2006,1.5 L,161 676 km
13 500 AZN,2008,1.5 L,216 000 km
17 500 AZN,2010,1.8 L,210 000 km
14 400 AZN,2007,1.5 L,139 000 km
17 500 AZN,2010,1.8 L,132 200 km
11 800 AZN,2008,1.5 L,185 000 km
13 750 AZN,2008,1.5 L,255 886 km
12 800 AZN,2007,1.5 L,210 000 km
18 700 AZN,2012,1.8 L,136 000 km
13 750 AZN,2007,1.5 L,212 000 km
12 800 AZN,2007,1.5 L,264 000 km
12 900 AZN,2006,1.5 L,121 000 km
13 500 AZN,2007,1.5 L,233 000 km
14 000 AZN,2007,1.5 L,80 000 km
17 200 AZN,2011,1.8 L,115 000 km
13 700 AZN,2007,1.5 L,209 000 km
21 400 AZN,2012,1.8 L,149 050 km
13 400 AZN,2007,1.5 L,188 000 km
13 400 AZN,2007,1.5 L,210 000 km
13 500 AZN,2008,1.5 L,337 962 km
15 900 AZN,2011,1.8 L,131 000 km
12 900 AZN,2007,1.5 L,168 000 km
12 950 AZN,2005,1.5 L,299 000 km
12 950 AZN,2008,1.5 L,237 378 km
15 900 AZN,2010,1.8 L,173 000 km
17 300 AZN,2010,1.8 L,268 760 km
13 500 AZN,2007,1.5 L,175 000 km
13 900 AZN,2008,1.5 L,173 000 km
16 300 AZN,2009,1.8 L,150 000 km
20 700 AZN,2014,1.8 L,187 000 km
17 200 AZN,2010,1.8 L,260 000 km
11 700 AZN,2007,1.5 L,130 000 km
14 200 AZN,2007,1.5 L,198 000 km
13 400 AZN,2006,1.5 L,110 000 km
13 500 AZN,2008,1.5 L,214 000 km
13 800 AZN,2009,1.5 L,199 961 km
13 500 AZN,2006,1.5 L,132 930 km
12 300 AZN,2007,1.5 L,185 075 km
16 500 AZN,2009,1.8 L,155 000 km
12 800 AZN,2007,1.5 L,264 000 km
21 400 AZN,2012,1.8 L,149 050 km
11 700 AZN,2007,1.5 L,130 000 km
13 100 AZN,2007,1.5 L,195 300 km
17 200 AZN,2011,1.8 L,115 000 km
16 400 AZN,2009,1.8 L,413 843 km
13 700 AZN,2008,1.5 L,299 338 km
17 900 AZN,2012,1.8 L,199 234 km
13 900 AZN,2007,1.5 L,155 000 km
14 350 AZN,2007,1.5 L,178 000 km
12 500 AZN,2007,1.5 L,255 000 km
12 800 AZN,2007,1.5 L,162 000 km
11 700 AZN,2007,1.5 L,240 000 km
13 700 AZN,2008,1.5 L,190 000 km
22 800 AZN,2012,1.8 L,133 000 km
16 700 AZN,2010,1.8 L,208 000 km
14 300 $,2010,1.8 L,209 541 km
12 900 AZN,2006,1.5 L,196 000 km
15 800 AZN,2011,1.8 L,289 000 km
11 900 AZN,2007,1.5 L,220 000 km
13 200 AZN,2008,1.5 L,262 323 km
13 800 AZN,2008,1.5 L,172 150 km
12 500 AZN,2007,1.5 L,233 000 km
16 500 AZN,2009,1.8 L,200 000 km
13 600 AZN,2008,1.5 L,201 168 km
13 300 AZN,2007,1.5 L,240 000 km
13 500 AZN,2008,1.5 L,230 000 km
13 400 AZN,2008,1.5 L,180 000 km
13 000 AZN,2008,1.5 L,196 500 km
14 000 AZN,2009,1.5 L,255 094 km
13 450 AZN,2007,1.5 L,188 352 km
17 850 AZN,2012,1.8 L,157 000 km
9 000 AZN,2009,1.5 L,133 000 km
12 900 AZN,2006,1.5 L,121 000 km
18 700 AZN,2012,1.8 L,136 000 km
18 500 AZN,2011,1.8 L,267 473 km
13 750 AZN,2007,1.5 L,212 000 km
10 000 AZN,2007,1.5 L,180 000 km
11 000 $,2012,1.8 L,126 000 km
11 700 AZN,2007,1.5 L,130 000 km
13 300 AZN,2007,1.5 L,213 000 km
13 300 AZN,2007,1.5 L,204 000 km
13 000 AZN,2005,1.5 L,152 000 km
12 500 AZN,2007,1.5 L,110 000 km
29 800 AZN,2016,1.8 L,85 000 km
13 900 AZN,2006,1.5 L,171 234 km
13 300 AZN,2008,1.5 L,276 000 km
13 300 AZN,2007,1.5 L,286 000 km
18 200 AZN,2011,1.8 L,137 000 km
16 200 AZN,2010,1.8 L,166 000 km
18 800 AZN,2014,1.8 L,179 000 km
19 000 AZN,2012,1.8 L,116 000 km
13 700 AZN,2007,1.5 L,183 000 km
17 500 AZN,2010,1.8 L,289 682 km
13 600 AZN,2008,1.5 L,199 947 km
13 400 AZN,2007,1.5 L,181 662 km
18 400 AZN,2012,1.8 L,209 000 km
13 200 AZN,2008,1.5 L,181 000 km
13 200 AZN,2008,1.5 L,195 000 km
16 200 AZN,2010,1.8 L,228 000 km
17 300 AZN,2009,1.8 L,275 198 km
13 500 AZN,2008,1.5 L,212 433 km
13 700 AZN,2008,1.5 L,107 000 km
12 900 AZN,2008,1.5 L,336 353 km
22 300 AZN,2013,1.8 L,136 794 km
16 300 AZN,2009,1.8 L,150 000 km
14 000 AZN,2007,1.5 L,80 000 km
22 000 AZN,2012,1.8 L,144 940 km
12 900 AZN,2006,1.5 L,121 000 km
16 900 AZN,2010,1.8 L,272 784 km
22 500 AZN,2014,1.8 L,288 562 km
17 900 AZN,2012,1.8 L,199 234 km
16 900 AZN,2010,1.8 L,166 000 km
12 800 AZN,2009,1.5 L,188 000 km
12 900 AZN,2007,1.5 L,174 000 km
12 800 AZN,2008,1.5 L,210 000 km
13 900 AZN,2008,1.5 L,199 800 km
19 900 $,2018,1.8 L,38 550 km
14 500 AZN,2008,1.5 L,337 962 km
13 900 AZN,2008,1.5 L,163 216 km
12 950 AZN,2006,1.5 L,144 000 km
13 500 AZN,2007,1.5 L,218 000 km
18 000 AZN,2010,1.8 L,204 000 km
13 700 AZN,2008,1.5 L,180 000 km
12 300 AZN,2007,1.5 L,298 563 km
16 700 AZN,2013,1.8 L,225 308 km
12 400 AZN,2008,1.5 L,189 000 km
17 800 AZN,2010,1.8 L,190 952 km
16 300 AZN,2011,1.8 L,201 350 km
18 500 AZN,2011,1.8 L,190 000 km
13 900 AZN,2008,1.5 L,101 200 km
13 600 AZN,2007,1.5 L,198 000 km
13 500 AZN,2007,1.5 L,187 000 km
13 400 AZN,2007,1.5 L,180 000 km
17 300 AZN,2009,1.8 L,149 000 km
17 200 AZN,2010,1.8 L,160 000 km
12 500 AZN,2007,1.5 L,250 000 km
13 900 AZN,2008,1.5 L,170 590 km
12 700 AZN,2008,1.5 L,178 781 km
16 900 AZN,2010,1.8 L,272 784 km
13 200 AZN,2007,1.5 L,205 023 km
19 400 AZN,2013,1.8 L,212 700 km
18 700 AZN,2012,1.8 L,136 000 km
34 000 AZN,2019,1.8 L,65 000 km
13 900 AZN,2007,1.5 L,172 000 km
18 300 AZN,2011,1.8 L,150 000 km
12 800 AZN,2007,1.5 L,170 000 km
12 600 AZN,2008,1.5 L,156 500 km
18 800 AZN,2010,1.8 L,109 000 km
12 300 AZN,2008,1.5 L,163 000 km
15 700 AZN,2009,1.8 L,220 000 km
12 500 AZN,2008,1.5 L,153 000 km
17 600 AZN,2011,1.8 L,129 000 km
13 700 AZN,2007,1.5 L,160 807 km
11 900 AZN,2008,1.5 L,201 903 km
20 900 AZN,2012,1.8 L,101 000 km
13 500 AZN,2007,1.5 L,137 000 km
12 900 AZN,2007,1.5 L,282 223 km
17 800 AZN,2010,1.8 L,115 000 km
12 800 AZN,2007,1.5 L,183 465 km
12 500 AZN,2007,1.5 L,350 000 km
13 000 AZN,2005,1.5 L,151 000 km
17 600 AZN,2011,1.8 L,231 000 km
13 750 AZN,2007,1.5 L,212 000 km
22 300 AZN,2013,1.8 L,158 000 km
19 400 AZN,2014,1.8 L,143 000 km
10 000 AZN,2008,1.5 L,190 990 km
13 100 AZN,2008,1.5 L,258 272 km
22 300 AZN,2013,1.8 L,136 794 km
15 400 AZN,2010,1.8 L,236 574 km
19 900 AZN,2014,1.8 L,220 000 km
13 200 AZN,2007,1.5 L,205 023 km
16 500 AZN,2010,1.8 L,192 000 km
13 750 AZN,2008,1.5 L,255 886 km
10 000 AZN,2007,1.5 L,210 000 km
12 900 AZN,2006,1.5 L,121 000 km
12 500 AZN,2007,1.5 L,250 000 km
12 500 AZN,2007,1.5 L,257 537 km
13 600 AZN,2008,1.5 L,180 000 km
13 700 AZN,2007,1.5 L,215 000 km
11 900 AZN,2008,1.5 L,37 015 km
15 000 AZN,2007,1.5 L,273 333 km
13 200 AZN,2008,1.5 L,235 000 km
13 200 AZN,2008,1.5 L,313 822 km
14 400 AZN,2008,1.5 L,220 000 km
11 500 AZN,2006,1.5 L,200 900 km
13 500 AZN,2007,1.5 L,17 200 km
16 100 AZN,2010,1.8 L,192 300 km
13 800 AZN,2008,1.5 L,184 000 km
13 700 AZN,2007,1.5 L,133 000 km
14 300 AZN,2006,1.5 L,253 000 km
12 900 AZN,2007,1.5 L,180 000 km
13 500 AZN,2008,1.5 L,180 000 km
16 800 AZN,2009,1.8 L,253 480 km
13 900 AZN,2009,1.5 L,234 000 km
13 700 AZN,2008,1.5 L,215 000 km
16 100 AZN,2011,1.8 L,241 402 km
18 700 AZN,2012,1.8 L,186 350 km
19 900 AZN,2014,1.8 L,220 000 km
11 800 AZN,2006,1.5 L,202 203 km
16 500 AZN,2010,1.8 L,192 000 km
12 900 AZN,2008,1.5 L,184 000 km
16 900 AZN,2010,1.8 L,272 784 km
12 200 AZN,2007,1.5 L,175 000 km
14 500 AZN,2006,1.5 L,137 000 km
22 300 AZN,2013,1.8 L,136 794 km
22 000 AZN,2012,1.8 L,144 940 km
19 600 AZN,2014,1.8 L,149 308 km
12 500 AZN,2007,1.5 L,237 000 km
12 500 AZN,2007,1.5 L,325 000 km
13 900 AZN,2009,1.5 L,284 000 km
13 850 AZN,2008,1.5 L,176 000 km
16 900 AZN,2009,1.8 L,227 000 km
17 500 AZN,2010,1.8 L,205 000 km
12 900 AZN,2007,1.5 L,241 402 km
13 800 AZN,2008,1.5 L,203 000 km
11 500 AZN,2008,1.5 L,189 000 km
13 300 AZN,2007,1.5 L,143 232 km
12 900 AZN,2006,1.5 L,153 000 km
13 800 AZN,2008,1.5 L,262 900 km
13 000 AZN,2007,1.5 L,296 119 km
13 400 AZN,2007,1.5 L,151 000 km
12 800 AZN,2007,1.5 L,254 000 km
16 900 AZN,2011,1.8 L,222 000 km
13 200 AZN,2007,1.5 L,205 023 km
19 300 AZN,2011,1.8 L,210 300 km
12 200 AZN,2006,1.5 L,189 500 km
13 000 AZN,2008,1.5 L,315 431 km
18 300 AZN,2012,1.8 L,227 000 km
13 500 AZN,2008,1.5 L,248 000 km
13 400 AZN,2009,1.5 L,186 000 km
9 000 AZN,2009,1.5 L,133 000 km
10 000 AZN,2007,1.5 L,210 000 km
13 700 AZN,2008,1.5 L,299 338 km
13 700 AZN,2007,1.5 L,209 000 km
19 700 AZN,2013,1.8 L,162 544 km
10 000 AZN,2007,1.5 L,180 000 km
13 900 AZN,2008,1.5 L,175 000 km
17 900 AZN,2012,1.8 L,199 234 km
13 000 AZN,2007,1.5 L,250 000 km
10 000 AZN,2008,1.5 L,155 000 km
12 600 AZN,2006,1.5 L,152 300 km
12 800 AZN,2007,1.5 L,210 000 km
19 000 AZN,2012,1.8 L,164 000 km
12 500 AZN,2007,1.5 L,162 000 km
13 400 AZN,2007,1.5 L,175 000 km
14 000 AZN,2006,1.5 L,164 000 km
13 800 AZN,2006,1.5 L,141 000 km
13 300 AZN,2008,1.5 L,200 000 km
14 400 AZN,2008,1.5 L,121 000 km
13 700 AZN,2008,1.5 L,190 000 km
15 800 AZN,2010,1.8 L,188 000 km
12 700 AZN,2005,1.5 L,128 683 km
12 000 AZN,2007,1.5 L,204 000 km
15 900 AZN,2011,1.8 L,207 000 km
13 200 AZN,2007,1.5 L,226 138 km
11 100 AZN,2007,1.5 L,226 000 km
13 000 AZN,2006,1.5 L,218 000 km
12 500 AZN,2008,1.5 L,220 000 km
16 200 AZN,2010,1.8 L,155 000 km
13 100 AZN,2007,1.5 L,144 500 km
13 400 AZN,2007,1.5 L,176 200 km
11 500 AZN,2008,1.5 L,318 650 km
10 000 AZN,2005,1.5 L,207 000 km
10 000 AZN,2007,1.5 L,210 000 km
9 500 AZN,2007,1.5 L,200 000 km
19 900 AZN,2014,1.8 L,220 000 km
16 500 AZN,2010,1.8 L,192 000 km
13 100 AZN,2007,1.5 L,195 300 km
18 500 AZN,2011,1.8 L,190 000 km
12 900 AZN,2008,1.5 L,184 000 km
34 000 AZN,2019,1.8 L,65 000 km
13 850 AZN,2008,1.5 L,210 000 km
13 200 AZN,2008,1.5 L,224 693 km
13 200 AZN,2008,1.5 L,195 000 km
13 800 AZN,2009,1.5 L,251 231 km
14 000 AZN,2006,1.5 L,150 000 km
17 400 AZN,2012,1.8 L,241 153 km
16 900 AZN,2009,1.8 L,288 111 km
12 900 AZN,2006,1.5 L,121 000 km
17 500 AZN,2012,1.8 L,197 000 km
13 200 AZN,2008,1.5 L,260 000 km
13 800 $,2013,1.8 L,122 000 km
13 900 AZN,2007,1.5 L,167 000 km
17 000 AZN,2010,1.8 L,171 000 km
11 700 AZN,2005,1.5 L,227 000 km
16 400 AZN,2009,1.8 L,413 843 km
14 200 AZN,2008,1.5 L,276 807 km
19 700 AZN,2014,1.8 L,260 500 km
15 789 AZN,2010,1.8 L,264 000 km
18 600 AZN,2011,1.8 L,215 779 km
15 200 AZN,2008,1.5 L,190 000 km
10 000 AZN,2006,1.5 L,250 000 km
16 300 AZN,2008,1.5 L,296 602 km
15 700 AZN,2010,1.8 L,167 350 km
11 900 AZN,2007,1.5 L,265 246 km
17 900 AZN,2012,1.8 L,199 234 km
19 700 AZN,2013,1.8 L,162 544 km
16 300 AZN,2009,1.8 L,150 000 km
13 900 AZN,2008,1.5 L,170 590 km
12 800 AZN,2007,1.5 L,210 000 km
13 100 AZN,2007,1.5 L,195 300 km
13 000 AZN,2007,1.5 L,250 000 km
16 500 AZN,2010,1.8 L,192 000 km
13 700 AZN,2007,1.5 L,150 111 km
13 900 AZN,2008,1.5 L,184 000 km
13 800 AZN,2008,1.5 L,192 300 km
14 600 AZN,2005,1.5 L,197 000 km
12 000 AZN,2007,1.5 L,157 000 km
13 500 AZN,2008,1.5 L,288 073 km
13 700 AZN,2007,1.5 L,106 650 km
16 300 AZN,2011,1.8 L,209 000 km
19 000 AZN,2010,1.8 L,99 779 km
17 800 AZN,2009,1.8 L,112 000 km
10 800 AZN,2007,1.5 L,432 800 km
14 000 AZN,2008,1.5 L,225 643 km
12 000 $,2013,1.8 L,206 500 km
13 200 AZN,2007,1.5 L,147 800 km
13 100 AZN,2007,1.5 L,236 100 km
18 900 AZN,2013,1.8 L,160 000 km
12 400 AZN,2007,1.5 L,199 000 km
13 000 AZN,2007,1.5 L,171 000 km
14 500 AZN,2008,1.5 L,184 650 km
13 700 AZN,2007,1.5 L,241 402 km
12 500 AZN,2008,1.5 L,258 622 km
12 700 AZN,2008,1.5 L,384 633 km
13 800 AZN,2007,1.5 L,193 500 km
12 700 AZN,2007,1.5 L,280 000 km
13 750 AZN,2007,1.5 L,212 000 km
17 650 AZN,2010,1.8 L,300 000 km
11 000 AZN,2008,1.5 L,234 000 km
34 000 AZN,2019,1.8 L,65 000 km
16 800 AZN,2009,1.8 L,253 480 km
16 400 AZN,2009,1.8 L,413 843 km
16 800 AZN,2010,1.8 L,184 000 km
12 900 AZN,2008,1.5 L,237 000 km
17 700 AZN,2011,1.8 L,290 247 km
14 300 AZN,2007,1.5 L,132 000 km
12 900 AZN,2007,1.5 L,225 446 km
17 200 AZN,2010,1.8 L,215 000 km
9 000 AZN,2009,1.5 L,105 000 km
13 500 AZN,2009,1.5 L,185 333 km
13 700 AZN,2007,1.5 L,189 455 km
16 500 AZN,2010,1.8 L,190 000 km
14 000 AZN,2007,1.5 L,80 000 km
14 500 AZN,2006,1.5 L,137 000 km
13 800 AZN,2008,1.5 L,181 300 km
13 900 AZN,2007,1.5 L,166 456 km
13 700 AZN,2007,1.5 L,176 000 km
13 100 AZN,2007,1.5 L,205 000 km
13 500 AZN,2008,1.5 L,220 000 km
14 500 AZN,2011,1.8 L,140 000 km
13 200 AZN,2007,1.5 L,150 000 km
18 800 AZN,2014,1.8 L,150 000 km
17 800 AZN,2012,1.8 L,180 000 km
12 400 AZN,2007,1.5 L,199 000 km
13 700 AZN,2007,1.5 L,144 350 km
17 900 AZN,2012,1.8 L,199 234 km
11 000 AZN,2008,1.5 L,234 000 km
17 000 AZN,2011,1.8 L,233 421 km
19 400 AZN,2013,1.8 L,212 700 km
13 500 AZN,2007,1.5 L,233 000 km
13 700 AZN,2008,1.5 L,299 338 km
12 500 AZN,2007,1.5 L,250 000 km
12 700 AZN,2007,1.5 L,171 292 km
18 500 AZN,2011,1.8 L,190 000 km
12 200 AZN,2007,1.5 L,175 000 km
22 300 AZN,2013,1.8 L,136 794 km
13 800 AZN,2008,1.5 L,299 338 km
12 300 AZN,2006,1.5 L,241 312 km
13 500 AZN,2008,1.5 L,180 000 km
12 300 AZN,2008,1.5 L,339 572 km
13 800 AZN,2007,1.5 L,270 000 km
18 400 AZN,2011,1.8 L,74 000 km
12 800 AZN,2007,1.5 L,195 000 km
23 400 AZN,2012,1.8 L,91 000 km
12 900 AZN,2008,1.5 L,145 400 km
12 800 AZN,2008,1.5 L,198 200 km
9 700 AZN,2006,1.5 L,255 000 km
13 300 AZN,2008,1.5 L,172 549 km
13 500 AZN,2006,1.5 L,173 000 km
12 550 AZN,2008,1.5 L,191 000 km
13 100 AZN,2007,1.5 L,244 692 km
17 500 AZN,2010,1.8 L,150 000 km
12 000 AZN,2007,1.5 L,322 000 km
15 000 AZN,2007,1.5 L,201 000 km
13 000 AZN,2007,1.5 L,289 682 km
16 000 AZN,2010,1.8 L,185 000 km
11 500 AZN,2007,1.5 L,213 000 km
24 300 AZN,2015,1.8 L,177 511 km
13 200 AZN,2007,1.5 L,192 000 km
17 900 AZN,2012,1.8 L,144 841 km
11 000 AZN,2008,1.5 L,234 000 km
12 700 AZN,2008,1.5 L,384 633 km
11 800 $,2014,1.8 L,181 212 km
13 200 AZN,2007,1.5 L,205 023 km
10 000 AZN,2007,1.5 L,180 000 km
9 500 AZN,2007,1.5 L,200 000 km
20 800 AZN,2014,1.8 L,191 587 km
14 500 AZN,2011,1.8 L,140 000 km
22 500 AZN,2014,1.8 L,288 562 km
10 850 AZN,2006,1.5 L,150 000 km
14 400 AZN,2009,1.5 L,166 000 km
13 500 AZN,2007,1.5 L,292 901 km
10 000 AZN,2008,1.5 L,202 000 km
11 000 AZN,2007,1.5 L,230 000 km
12 500 AZN,2006,1.5 L,240 000 km
