Price,Year,Engine,Distance
18 900 AZN,2013,1.8 L,204 955 km
12 500 AZN,2007,1.5 L,230 000 km
16 800 AZN,2010,1.8 L,168 000 km
13 900 AZN,2008,1.5 L,295 895 km
13 000 AZN,2007,1.5 L,240 000 km
11 500 AZN,2007,1.5 L,221 000 km
21 300 AZN,2014,1.8 L,88 000 km
13 700 AZN,2007,1.5 L,187 000 km
13 300 AZN,2008,1.5 L,163 000 km
12 500 AZN,2008,1.5 L,272 000 km
12 500 AZN,2007,1.5 L,110 214 km
12 200 AZN,2008,1.5 L,230 000 km
13 200 AZN,2007,1.5 L,270 370 km
17 200 AZN,2011,1.8 L,115 000 km
12 200 AZN,2007,1.5 L,175 000 km
13 000 AZN,2007,1.5 L,216 500 km
13 700 AZN,2007,1.5 L,248 930 km
14 500 AZN,2006,1.5 L,137 000 km
10 300 AZN,2008,1.5 L,137 000 km
13 500 AZN,2007,1.5 L,233 000 km
13 900 AZN,2008,1.5 L,175 000 km
16 400 AZN,2009,1.8 L,413 843 km
13 000 AZN,2007,1.5 L,250 000 km
12 900 AZN,2006,1.5 L,121 000 km
13 300 AZN,2008,1.5 L,200 000 km
11 700 AZN,2007,1.5 L,225 000 km
11 000 AZN,2007,1.5 L,161 000 km
12 000 AZN,2008,1.5 L,167 000 km
14 400 AZN,2007,1.5 L,202 000 km
12 900 AZN,2008,1.5 L,211 000 km
12 900 AZN,2008,1.5 L,110 000 km
15 600 AZN,2010,1.8 L,180 000 km
12 900 AZN,2008,1.5 L,201 458 km
12 200 AZN,2008,1.5 L,280 000 km
13 400 AZN,2008,1.5 L,227 400 km
10 800 AZN,2006,1.5 L,216 000 km
11 800 AZN,2006,1.5 L,225 000 km
16 400 AZN,2010,1.8 L,123 000 km
10 000 AZN,2007,1.5 L,180 000 km
12 700 AZN,2008,1.5 L,178 781 km
12 400 AZN,2007,1.5 L,172 522 km
17 500 AZN,2011,1.8 L,257 495 km
16 800 AZN,2010,1.8 L,321 869 km
17 600 AZN,2010,1.8 L,105 000 km
12 700 AZN,2008,1.5 L,156 900 km
13 500 AZN,2009,1.5 L,281 635 km
15 600 AZN,2008,1.5 L,194 000 km
21 000 AZN,2012,1.8 L,68 000 km
14 000 AZN,2008,1.5 L,150 000 km
14 500 AZN,2011,1.8 L,140 000 km
12 900 AZN,2008,1.5 L,184 000 km
16 800 AZN,2009,1.8 L,253 480 km
12 800 AZN,2007,1.5 L,210 000 km
14 500 AZN,2006,1.5 L,137 000 km
19 000 AZN,2010,1.8 L,316 656 km
13 900 AZN,2008,1.5 L,184 000 km
13 400 AZN,2007,1.5 L,175 000 km
13 400 AZN,2007,1.5 L,206 000 km
14 100 AZN,2008,1.5 L,99 000 km
13 400 AZN,2007,1.5 L,173 050 km
19 900 AZN,2012,1.8 L,148 000 km
14 800 AZN,2010,1.8 L,180 000 km
15 300 AZN,2010,1.8 L,220 000 km
12 200 AZN,2007,1.5 L,337 962 km
14 300 AZN,2008,1.5 L,271 335 km
13 500 AZN,2008,1.5 L,127 000 km
13 700 AZN,2008,1.5 L,299 338 km
16 400 AZN,2010,1.8 L,270 000 km
13 600 AZN,2008,1.5 L,140 000 km
13 500 AZN,2008,1.5 L,160 000 km
14 100 AZN,2008,1.5 L,284 854 km
13 400 AZN,2008,1.5 L,315 431 km
12 700 AZN,2008,1.5 L,241 000 km
11 100 AZN,2006,1.5 L,205 000 km
17 500 AZN,2010,1.8 L,355 665 km
21 500 AZN,2012,1.8 L,221 285 km
12 200 AZN,2009,1.5 L,211 000 km
12 900 AZN,2008,1.5 L,200 000 km
13 900 AZN,2007,1.5 L,101 000 km
12 800 AZN,2008,1.5 L,220 000 km
12 700 AZN,2007,1.5 L,171 292 km
10 300 AZN,2008,1.5 L,137 000 km
20 900 AZN,2012,1.8 L,196 000 km
16 500 AZN,2010,1.8 L,192 000 km
13 750 AZN,2008,1.5 L,255 886 km
12 800 AZN,2007,1.5 L,210 000 km
20 800 AZN,2014,1.8 L,191 587 km
13 900 AZN,2008,1.5 L,184 000 km
13 300 AZN,2008,1.5 L,200 000 km
12 700 AZN,2007,1.5 L,248 000 km
13 450 AZN,2006,1.5 L,408 773 km
14 600 AZN,2009,1.5 L,154 000 km
15 000 AZN,2012,1.8 L,200 000 km
14 500 AZN,2008,1.5 L,215 897 km
12 500 AZN,2008,1.5 L,257 495 km
14 200 AZN,2007,1.5 L,142 800 km
14 200 AZN,2008,1.5 L,148 000 km
20 500 AZN,2013,1.8 L,115 000 km
18 500 AZN,2011,1.8 L,267 473 km
17 500 AZN,2011,1.8 L,249 448 km
4 600 â‚¬,2007,1.5 L,197 000 km
11 950 AZN,2006,1.5 L,173 000 km
13 200 AZN,2007,1.5 L,287 000 km
12 500 AZN,2007,1.5 L,197 000 km
12 700 AZN,2007,1.5 L,217 000 km
12 700 AZN,2007,1.5 L,127 000 km
17 900 AZN,2011,1.8 L,214 000 km
13 000 AZN,2008,1.5 L,287 072 km
13 300 AZN,2008,1.5 L,127 000 km
12 000 AZN,2010,1.8 L,198 000 km
19 500 AZN,2012,1.8 L,157 000 km
13 700 AZN,2008,1.5 L,117 000 km
17 300 AZN,2011,1.8 L,167 571 km
13 750 AZN,2007,1.5 L,212 000 km
12 900 AZN,2008,1.5 L,184 000 km
9 000 AZN,2009,1.5 L,133 000 km
17 900 AZN,2011,1.8 L,214 000 km
14 500 AZN,2011,1.8 L,140 000 km
10 000 AZN,2007,1.5 L,180 000 km
13 300 AZN,2008,1.5 L,200 000 km
12 700 AZN,2007,1.5 L,171 292 km
16 500 AZN,2010,1.8 L,189 000 km
13 000 AZN,2008,1.5 L,285 692 km
12 300 AZN,2006,1.5 L,315 142 km
12 600 AZN,2007,1.5 L,37 015 km
11 500 AZN,2006,1.5 L,245 000 km
13 700 AZN,2008,1.5 L,134 000 km
13 200 AZN,2007,1.5 L,299 338 km
28 900 AZN,2016,1.8 L,93 500 km
13 700 AZN,2007,1.5 L,322 000 km
18 000 AZN,2010,1.8 L,210 000 km
12 700 AZN,2008,1.5 L,250 000 km
13 600 AZN,2006,1.5 L,277 000 km
19 900 AZN,2010,1.8 L,216 000 km
11 000 AZN,2006,1.5 L,371 977 km
18 100 AZN,2010,1.8 L,223 500 km
12 600 AZN,2007,1.5 L,270 000 km
14 500 AZN,2008,1.5 L,308 994 km
13 500 AZN,2007,1.5 L,163 500 km
13 500 AZN,2007,1.5 L,233 000 km
18 900 AZN,2012,1.8 L,90 000 km
13 500 AZN,2008,1.5 L,223 000 km
16 900 AZN,2011,1.8 L,149 000 km
16 900 AZN,2010,1.8 L,151 000 km
13 400 AZN,2007,1.5 L,224 000 km
12 900 AZN,2008,1.5 L,184 000 km
13 100 AZN,2007,1.5 L,195 300 km
19 600 AZN,2014,1.8 L,149 308 km
18 500 AZN,2011,1.8 L,267 473 km
14 000 AZN,2007,1.5 L,80 000 km
34 000 AZN,2019,1.8 L,65 000 km
13 000 AZN,2008,1.5 L,210 000 km
13 400 AZN,2007,1.5 L,175 000 km
12 800 AZN,2007,1.5 L,264 000 km
14 400 AZN,2007,1.5 L,173 500 km
12 300 AZN,2007,1.5 L,418 429 km
13 800 AZN,2008,1.5 L,188 800 km
16 800 AZN,2010,1.8 L,184 000 km
16 500 AZN,2011,1.8 L,185 000 km
11 500 AZN,2007,1.5 L,217 261 km
12 200 AZN,2006,1.5 L,194 000 km
13 700 AZN,2008,1.5 L,183 000 km
13 800 AZN,2006,1.5 L,304 166 km
18 500 AZN,2012,1.8 L,86 000 km
13 000 AZN,2008,1.5 L,310 000 km
13 500 AZN,2008,1.5 L,228 000 km
12 500 AZN,2009,1.5 L,162 000 km
18 700 AZN,2012,1.8 L,160 000 km
14 100 AZN,2009,1.5 L,214 000 km
15 400 AZN,2011,1.8 L,315 000 km
17 300 AZN,2010,1.8 L,224 500 km
12 600 AZN,2007,1.5 L,271 979 km
10 800 AZN,2005,1.5 L,210 000 km
13 100 AZN,2008,1.5 L,302 557 km
14 500 AZN,2008,1.5 L,180 000 km
13 400 AZN,2008,1.5 L,254 000 km
12 300 AZN,2008,1.5 L,171 000 km
10 000 AZN,2007,1.5 L,210 000 km
16 800 AZN,2009,1.8 L,253 480 km
10 000 AZN,2007,1.5 L,180 000 km
12 500 AZN,2007,1.5 L,250 000 km
12 800 AZN,2007,1.5 L,264 000 km
13 900 AZN,2008,1.5 L,170 590 km
19 700 AZN,2013,1.8 L,162 544 km
16 500 AZN,2010,1.8 L,192 000 km
18 700 AZN,2011,1.8 L,238 000 km
14 900 AZN,2008,1.5 L,158 400 km
18 800 AZN,2011,1.8 L,205 996 km
14 300 AZN,2006,1.5 L,162 000 km
13 300 AZN,2009,1.5 L,200 000 km
13 700 AZN,2008,1.5 L,320 259 km
12 850 AZN,2008,1.5 L,408 773 km
13 500 AZN,2010,1.8 L,305 000 km
17 800 AZN,2010,1.8 L,202 000 km
12 500 AZN,2008,1.5 L,225 000 km
12 200 AZN,2008,1.5 L,217 000 km
34 000 AZN,2020,1.8 L,21 789 km
18 000 AZN,2006,1.5 L,354 056 km
16 950 AZN,2010,1.8 L,209 000 km
12 600 AZN,2007,1.5 L,191 000 km
13 500 AZN,2008,1.5 L,223 000 km
11 490 AZN,2006,1.5 L,229 999 km
16 500 AZN,2010,1.8 L,186 684 km
12 800 AZN,2008,1.5 L,160 876 km
13 900 AZN,2005,1.5 L,182 500 km
15 400 AZN,2010,1.8 L,236 574 km
13 500 AZN,2007,1.5 L,217 123 km
13 300 AZN,2008,1.5 L,242 000 km
13 800 AZN,2007,1.5 L,382 380 km
11 800 $,2014,1.8 L,181 212 km
16 800 AZN,2009,1.8 L,253 480 km
34 000 AZN,2019,1.8 L,65 000 km
13 200 AZN,2007,1.5 L,205 023 km
12 200 AZN,2007,1.5 L,175 000 km
12 700 AZN,2008,1.5 L,384 633 km
13 900 AZN,2007,1.5 L,101 000 km
21 400 AZN,2012,1.8 L,149 050 km
16 650 AZN,2008,1.5 L,218 000 km
12 800 AZN,2006,1.5 L,223 014 km
13 600 AZN,2008,1.5 L,142 800 km
20 800 AZN,2014,1.8 L,112 000 km
16 900 AZN,2010,1.8 L,383 024 km
20 900 AZN,2012,1.8 L,196 000 km
12 900 AZN,2008,1.5 L,300 947 km
21 600 AZN,2011,1.8 L,53 000 km
15 500 AZN,2011,1.8 L,321 798 km
13 500 AZN,2009,1.5 L,185 000 km
11 000 $,2012,1.8 L,126 000 km
12 700 AZN,2005,1.5 L,254 255 km
18 800 AZN,2010,1.8 L,100 000 km
14 100 AZN,2008,1.5 L,118 000 km
11 100 AZN,2008,1.5 L,144 000 km
13 700 AZN,2007,1.5 L,317 000 km
13 600 AZN,2007,1.5 L,250 000 km
13 800 AZN,2008,1.5 L,275 000 km
13 700 AZN,2008,1.5 L,165 000 km
13 600 AZN,2009,1.5 L,218 000 km
17 800 AZN,2010,1.8 L,341 181 km
12 300 AZN,2008,1.5 L,245 000 km
13 200 AZN,2007,1.5 L,180 000 km
14 300 AZN,2009,1.5 L,155 000 km
13 900 AZN,2008,1.5 L,175 000 km
13 000 AZN,2008,1.5 L,210 000 km
13 900 AZN,2007,1.5 L,101 000 km
13 700 AZN,2007,1.5 L,209 000 km
10 000 AZN,2008,1.5 L,155 000 km
13 200 AZN,2007,1.5 L,205 023 km
12 900 AZN,2008,1.5 L,184 000 km
17 000 AZN,2010,1.8 L,171 000 km
14 300 AZN,2008,1.5 L,301 000 km
12 300 AZN,2007,1.5 L,209 354 km
17 800 AZN,2011,1.8 L,253 600 km
17 900 AZN,2011,1.8 L,440 297 km
15 700 AZN,2010,1.8 L,156 600 km
17 900 AZN,2011,1.5 L,321 869 km
13 500 AZN,2008,1.5 L,178 000 km
13 200 AZN,2006,1.5 L,259 000 km
16 100 AZN,2010,1.8 L,337 964 km
14 500 AZN,2010,1.8 L,291 291 km
19 000 AZN,2013,1.8 L,233 355 km
17 100 AZN,2010,1.8 L,225 308 km
12 000 AZN,2010,1.8 L,139 000 km
13 900 AZN,2007,1.5 L,149 000 km
14 000 AZN,2007,1.5 L,305 775 km
19 400 AZN,2013,1.8 L,212 700 km
12 900 AZN,2008,1.5 L,237 000 km
18 432 AZN,2008,1.5 L,257 000 km
13 300 AZN,2007,1.5 L,142 100 km
17 198 AZN,2008,1.5 L,138 866 km
16 500 AZN,2010,1.8 L,161 000 km
14 000 AZN,2008,1.5 L,216 000 km
14 200 AZN,2008,1.5 L,99 000 km
14 000 AZN,2008,1.5 L,117 000 km
13 300 AZN,2008,1.5 L,240 000 km
19 000 AZN,2010,1.8 L,316 656 km
22 000 AZN,2012,1.8 L,144 940 km
12 700 AZN,2007,1.5 L,171 292 km
9 000 AZN,2009,1.5 L,133 000 km
16 900 AZN,2010,1.8 L,272 784 km
20 800 AZN,2014,1.8 L,191 587 km
17 000 AZN,2010,1.8 L,171 000 km
13 500 AZN,2007,1.5 L,13 200 km
19 200 AZN,2014,1.8 L,264 000 km
13 600 AZN,2007,1.5 L,305 775 km
17 500 AZN,2010,1.8 L,187 700 km
14 800 AZN,2008,1.5 L,230 000 km
19 000 AZN,2012,1.8 L,144 000 km
14 100 AZN,2008,1.5 L,136 890 km
10 900 AZN,2007,1.5 L,248 000 km
17 700 AZN,2010,1.8 L,205 350 km
14 600 AZN,2008,1.5 L,85 000 km
14 000 AZN,2008,1.5 L,246 230 km
13 700 AZN,2007,1.5 L,320 000 km
14 000 AZN,2006,1.5 L,167 700 km
12 000 AZN,2007,1.5 L,103 000 km
14 200 AZN,2007,1.5 L,147 000 km
17 800 AZN,2011,1.8 L,132 000 km
13 100 AZN,2007,1.5 L,195 300 km
13 300 AZN,2008,1.5 L,146 886 km
11 000 AZN,2009,1.5 L,128 748 km
12 000 AZN,2007,1.5 L,228 516 km
13 700 AZN,2007,1.5 L,146 000 km
13 000 AZN,2007,1.5 L,165 896 km
13 900 AZN,2007,1.5 L,198 000 km
14 000 AZN,2007,1.5 L,127 138 km
16 800 AZN,2010,1.8 L,184 000 km
20 800 AZN,2014,1.8 L,191 587 km
19 600 AZN,2014,1.8 L,149 308 km
13 500 AZN,2007,1.5 L,233 000 km
17 200 AZN,2011,1.8 L,115 000 km
13 000 AZN,2008,1.5 L,291 517 km
9 500 AZN,2007,1.5 L,200 000 km
13 000 AZN,2008,1.5 L,210 000 km
13 800 AZN,2008,1.5 L,211 000 km
12 700 AZN,2008,1.5 L,236 789 km
18 400 AZN,2010,1.8 L,192 421 km
12 800 AZN,2008,1.5 L,167 000 km
12 700 AZN,2007,1.5 L,176 032 km
14 000 AZN,2007,1.5 L,137 800 km
14 500 AZN,2008,1.5 L,89 000 km
13 900 AZN,2009,1.5 L,200 000 km
14 500 AZN,2008,1.5 L,207 000 km
13 200 AZN,2006,1.5 L,146 000 km
17 000 AZN,2010,1.8 L,352 446 km
14 800 AZN,2009,1.5 L,194 000 km
17 000 AZN,2011,1.8 L,186 000 km
12 850 AZN,2007,1.5 L,172 000 km
13 400 AZN,2008,1.5 L,168 200 km
16 700 AZN,2011,1.8 L,144 000 km
12 000 AZN,2007,1.5 L,161 400 km
13 800 AZN,2008,1.5 L,266 346 km
15 300 AZN,2007,1.5 L,302 557 km
13 500 AZN,2008,1.5 L,185 000 km
12 200 AZN,2006,1.5 L,115 000 km
13 500 AZN,2008,1.5 L,290 000 km
14 200 AZN,2008,1.5 L,230 000 km
11 600 AZN,2007,1.5 L,304 654 km
22 000 AZN,2012,1.8 L,144 940 km
12 700 AZN,2008,1.5 L,384 633 km
16 500 AZN,2010,1.8 L,192 000 km
12 200 AZN,2007,1.5 L,175 000 km
13 900 AZN,2007,1.5 L,101 000 km
17 200 AZN,2011,1.8 L,115 000 km
19 900 AZN,2014,1.8 L,220 000 km
16 800 AZN,2010,1.8 L,184 000 km
12 300 AZN,2007,1.5 L,184 000 km
12 950 AZN,2009,1.5 L,152 500 km
18 800 AZN,2011,1.8 L,227 000 km
16 500 AZN,2011,1.8 L,170 000 km
10 500 AZN,2007,1.5 L,464 172 km
13 300 AZN,2008,1.5 L,240 000 km
9 980 AZN,2008,1.5 L,179 000 km
13 400 AZN,2007,1.5 L,188 000 km
13 200 AZN,2008,1.5 L,190 000 km
14 500 AZN,2007,1.5 L,171 091 km
13 300 AZN,2005,1.5 L,147 000 km
14 000 AZN,2006,1.5 L,165 000 km
23 400 AZN,2015,1.8 L,120 000 km
18 500 AZN,2013,1.8 L,166 000 km
13 900 AZN,2007,1.5 L,99 900 km
12 900 AZN,2007,1.5 L,193 700 km
12 700 AZN,2008,1.5 L,260 000 km
14 000 AZN,2007,1.5 L,337 962 km
18 800 AZN,2013,1.8 L,123 919 km
18 700 AZN,2009,1.5 L,23 000 km
19 500 AZN,2013,1.8 L,187 000 km
12 800 AZN,2006,1.5 L,241 000 km
11 000 AZN,2007,1.5 L,188 000 km
13 000 AZN,2008,1.5 L,181 000 km
11 000 AZN,2008,1.5 L,234 000 km
13 750 AZN,2008,1.5 L,255 886 km
16 900 AZN,2010,1.8 L,272 784 km
19 600 AZN,2014,1.8 L,149 308 km
9 500 AZN,2007,1.5 L,200 000 km
22 500 AZN,2014,1.8 L,288 562 km
12 700 AZN,2007,1.5 L,171 292 km
19 900 AZN,2014,1.8 L,220 000 km
13 400 AZN,2007,1.5 L,217 000 km
16 600 AZN,2011,1.8 L,290 128 km
12 500 AZN,2007,1.5 L,255 820 km
14 400 AZN,2006,1.5 L,170 300 km
15 800 AZN,2010,1.8 L,228 527 km
12 900 AZN,2008,1.5 L,184 000 km
18 800 AZN,2015,1.8 L,220 000 km
12 500 AZN,2009,1.5 L,297 729 km
10 800 AZN,2006,1.5 L,254 080 km
13 000 AZN,2007,1.5 L,293 000 km
14 100 AZN,2008,1.5 L,157 000 km
13 000 AZN,2008,1.5 L,185 000 km
15 700 AZN,2007,1.5 L,133 000 km
22 300 AZN,2013,1.8 L,136 794 km
12 300 AZN,2008,1.5 L,233 000 km
12 900 AZN,2007,1.5 L,246 081 km
12 800 AZN,2006,1.5 L,347 618 km
13 500 AZN,2008,1.5 L,285 000 km
17 800 AZN,2010,1.8 L,326 148 km
13 700 AZN,2008,1.5 L,182 000 km
12 900 AZN,2008,1.5 L,234 002 km
13 600 AZN,2007,1.5 L,313 536 km
13 000 AZN,2008,1.5 L,455 547 km
13 000 AZN,2006,1.5 L,182 000 km
14 400 AZN,2008,1.5 L,159 000 km
18 700 AZN,2012,1.8 L,136 000 km
16 400 AZN,2009,1.8 L,413 843 km
17 800 AZN,2009,1.8 L,112 000 km
18 500 AZN,2011,1.8 L,267 473 km
16 800 AZN,2009,1.8 L,253 480 km
13 900 AZN,2007,1.5 L,101 000 km
19 600 AZN,2014,1.8 L,149 308 km
11 800 AZN,2008,1.5 L,241 000 km
16 850 AZN,2009,1.8 L,289 682 km
13 300 AZN,2007,1.5 L,201 000 km
13 600 AZN,2007,1.5 L,211 000 km
18 400 AZN,2011,1.8 L,155 000 km
10 200 AZN,2007,1.5 L,275 000 km
14 700 AZN,2008,1.5 L,206 044 km
12 200 AZN,2008,1.5 L,245 000 km
12 900 AZN,2006,1.5 L,120 000 km
12 800 AZN,2008,1.5 L,279 255 km
13 600 AZN,2005,1.5 L,153 000 km
14 800 AZN,2008,1.5 L,161 000 km
13 500 AZN,2007,1.5 L,184 000 km
12 900 AZN,2009,1.5 L,151 000 km
12 800 AZN,2006,1.5 L,213 000 km
13 300 AZN,2008,1.5 L,144 000 km
13 200 AZN,2005,1.5 L,187 000 km
20 800 AZN,2013,1.8 L,91 000 km
12 800 AZN,2007,1.5 L,200 000 km
13 000 AZN,2008,1.5 L,175 000 km
13 350 AZN,2007,1.5 L,117 200 km
17 000 AZN,2010,1.8 L,362 279 km
18 800 AZN,2011,1.8 L,207 605 km
11 300 AZN,2007,1.5 L,159 486 km
13 000 AZN,2007,1.5 L,250 000 km
16 400 AZN,2009,1.8 L,413 843 km
10 000 AZN,2007,1.5 L,180 000 km
13 900 AZN,2008,1.5 L,170 590 km
34 000 AZN,2019,1.8 L,65 000 km
13 000 AZN,2008,1.5 L,210 000 km
16 500 AZN,2010,1.8 L,192 000 km
13 200 AZN,2007,1.5 L,205 023 km
12 400 AZN,2007,1.5 L,257 000 km
13 600 AZN,2008,1.5 L,178 062 km
17 500 AZN,2010,1.8 L,180 000 km
13 700 AZN,2007,1.5 L,210 824 km
12 800 AZN,2008,1.5 L,193 000 km
18 000 AZN,2012,1.8 L,347 618 km
13 600 AZN,2007,1.5 L,270 370 km
18 700 AZN,2014,1.8 L,157 000 km
17 300 AZN,2010,1.8 L,272 784 km
19 500 AZN,2013,1.8 L,241 000 km
12 200 AZN,2007,1.5 L,200 000 km
20 500 AZN,2012,1.8 L,121 597 km
20 500 AZN,2012,1.8 L,111 350 km
17 999 AZN,2010,1.8 L,206 223 km
23 300 AZN,2013,1.8 L,166 716 km
13 200 AZN,2008,1.5 L,180 000 km
21 300 AZN,2013,1.8 L,265 934 km
13 100 AZN,2006,1.5 L,280 026 km
12 700 AZN,2007,1.5 L,180 247 km
19 700 AZN,2014,1.8 L,200 000 km
12 600 AZN,2008,1.5 L,165 000 km
12 900 AZN,2009,1.5 L,220 000 km
11 200 AZN,2008,1.5 L,202 000 km
12 800 AZN,2008,1.5 L,232 434 km
13 700 AZN,2007,1.5 L,209 000 km
12 200 AZN,2007,1.5 L,175 000 km
10 000 AZN,2007,1.5 L,210 000 km
13 000 AZN,2008,1.5 L,291 517 km
9 000 AZN,2009,1.5 L,133 000 km
12 700 AZN,2008,1.5 L,384 633 km
18 500 AZN,2011,1.8 L,190 000 km
13 700 AZN,2008,1.5 L,299 338 km
13 000 AZN,2007,1.5 L,160 000 km
13 600 AZN,2007,1.5 L,210 000 km
14 000 AZN,2008,1.5 L,170 850 km
11 000 AZN,2007,1.5 L,381 000 km
11 500 AZN,2007,1.5 L,150 000 km
11 900 AZN,2006,1.5 L,173 000 km
10 000 $,2010,1.8 L,182 000 km
14 200 AZN,2008,1.5 L,195 000 km
13 300 AZN,2007,1.5 L,260 000 km
12 900 AZN,2008,1.5 L,212 000 km
12 800 AZN,2008,1.5 L,216 778 km
18 700 AZN,2012,1.8 L,236 500 km
13 400 AZN,2006,1.5 L,190 000 km
13 600 AZN,2008,1.5 L,226 000 km
13 500 AZN,2008,1.5 L,235 000 km
11 000 AZN,2008,1.5 L,222 222 km
12 600 AZN,2007,1.5 L,286 463 km
14 000 AZN,2007,1.5 L,185 000 km
16 700 AZN,2011,1.8 L,160 000 km
19 000 AZN,2012,1.8 L,167 000 km
10 000 AZN,2007,1.5 L,187 000 km
20 000 AZN,2007,1.5 L,150 000 km
13 900 AZN,2008,1.5 L,175 000 km
12 200 AZN,2008,1.5 L,150 000 km
